No,Tanggal,Jenis Trans,IN/OUT,Product Code/Model,Jenis Barang,Nama Barang,Serial Number,Gudang/Rak,Jumlah,Keterangan,,,Jenis Trans,IN/OUT,ket,,,,,,,
1,1-Jan-25,SALDO,IN,HA65NS5-00,AC Adapter,DELL 65W AC Adapter (Adaptor TC DELL),CN-09RN2C-CH600-1BJ-0JT9-A12,Lemari,1,,AC AdapterDELL 65W AC Adapter (Adaptor TC DELL),,MASUK,IN,Barang masuk ke gudang IT,,,,,,,
2,1-Jan-25,SALDO,IN,HA65NS5-00,AC Adapter,DELL 65W AC Adapter (Adaptor TC DELL),CN-09RN2C-CH600-1C8-05Y7-A12,Lemari,1,,AC AdapterDELL 65W AC Adapter (Adaptor TC DELL),,KELUAR,OUT,Barang keluar dari gudang IT,,,,,,,
3,1-Jan-25,SALDO,IN,,AC Adapter,Power Adapter for AP1530/1560 Series Cisco (AIR-PWRADPT-RGD1),,Rak B,2,"ELTO2402, PO:4500352920",AC AdapterPower Adapter for AP1530/1560 Series Cisco (AIR-PWRADPT-RGD1),,ADJ +,IN,Selisih barang yg nilainya bertambah,,,,,,,
4,1-Jan-25,SALDO,IN,TPC-CA54,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),WGSCT0AGCDGO40,Lemari,1,ex,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,ADJ -,OUT,Selisih barang yg nilainya berkurang,,,,,,,
5,1-Jan-25,SALDO,IN,380467-001,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),,Lemari,3,,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,SCRAP,OUT,Barang keluar dari gudang IT karena dibuang/rusak,,,,,,,
6,1-Jan-25,SALDO,IN,708778-001,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),F137441347010969,Lemari,1,,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,MUT M,IN,Mutasi masuk (pindah gudang/rak),,,,,,,
7,1-Jan-25,SALDO,IN,740708-001/TPC-LA581,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),,Lemari,1,,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,MUT K,OUT,Mutasi keluar (pindah gudang/rak),,,,,,,
8,1-Jan-25,SALDO,IN,519329-002,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),F109100835020B,Lemari,1,,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,SALDO,IN,Saldo Awal,,,,,,,
9,1-Jan-25,SALDO,IN,380467-001,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),,Lemari,1,,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,,,,,,,,,,
10,1-Jan-25,SALDO,IN,380467-001,AC Adapter,HP 65W AC Adapter (Adaptor TC HP),,Lemari,1,,AC AdapterHP 65W AC Adapter (Adaptor TC HP),,,,,,,,,,,
11,1-Jan-25,SALDO,IN,MDZ-24-AA,Android TV,Mi TV Stick Android TV,26919/800005475496,Lemari Kaca,1,,Android TVMi TV Stick Android TV,,,,,,,,,,,
12,1-Jan-25,SALDO,IN,C7978A,Backup Tape,HPE LTO-7 Ultrium Universal Cleaning Cartridge,,Lemari,4,,Backup TapeHPE LTO-7 Ultrium Universal Cleaning Cartridge,,,,,,,,,,,
13,1-Jan-25,SALDO,IN,C7977A RW,Backup Tape,HPE LTO-7 Ultrium RW Data Cartridge 15TB,,Lemari,35,,Backup TapeHPE LTO-7 Ultrium RW Data Cartridge 15TB,,,,,,,,,,,
14,1-Jan-25,SALDO,IN,,"Baut, Mur, Sekrup","Aneka macam Baut, Mur, Sekrup",,Rak A,1,,"Baut, Mur, SekrupAneka macam Baut, Mur, Sekrup",,,,,,,,,,,
15,1-Jan-25,SALDO,IN,-,Bracket Mounting,INFORCE Projector Ceiling Mount,,Rak A,5,,Bracket MountingINFORCE Projector Ceiling Mount,,,,Sum of Jumlah,,,IN/OUT,,,,
16,1-Jan-25,SALDO,IN,-,Bracket Mounting,HPE Quick Release 2/Spacer Option Kit 2 (Bracket Mounting TC),,Rak A,15,,Bracket MountingHPE Quick Release 2/Spacer Option Kit 2 (Bracket Mounting TC),,,,Jenis Barang,Nama Barang,Gudang/Rak,,IN,OUT,#N/A,Grand Total
17,1-Jan-25,SALDO,IN,DS-1275ZJ,Bracket Mounting,HIKVISION Vertical Pole Mount,,Rak B,34,Sisa/Spare Unit SMP - Ademco,Bracket MountingHIKVISION Vertical Pole Mount,,,, Total,,,0,,,0,0
18,1-Jan-25,SALDO,IN,DS-1604ZJ,Bracket Mounting,HIKVISION Wall Mount,,Rak B,5,Sisa/Spare Unit SMP - Ademco,Bracket MountingHIKVISION Wall Mount,,,,AC Adapter,DELL 65W AC Adapter (Adaptor TC DELL),Lemari,,2,,,2
19,1-Jan-25,SALDO,IN,BF 3382,Cable Adapter,BAFO DP to HDMI Adapter,,Rak A,7,,Cable AdapterBAFO DP to HDMI Adapter,,,,,DELL 65W AC Adapter (Adaptor TC DELL) Total,,,2,,,2
20,1-Jan-25,SALDO,IN,70444,Cable Adapter,UGREEN USB-C To HDMI Adapter,,Lemari Kaca,1,,Cable AdapterUGREEN USB-C To HDMI Adapter,,,,,HP 65W AC Adapter (Adaptor TC HP),Lemari,,9,,,9
21,1-Jan-25,SALDO,IN,BF 3382,Cable Adapter,BAFO DP to HDMI Adapter,,Lemari Kaca,2,,Cable AdapterBAFO DP to HDMI Adapter,,,,,HP 65W AC Adapter (Adaptor TC HP) Total,,,9,,,9
22,1-Jan-25,SALDO,IN,DS-K1101M,Card Reader,HIKVISION Pro 1101 Series Card Reader,AC1225340,Rak B,1,Sisa/Spare Unit SMP - Ademco,Card ReaderHIKVISION Pro 1101 Series Card Reader,,,,,Power Adapter for AP1530/1560 Series Cisco (AIR-PWRADPT-RGD1),Rak B,,2,,,2
23,1-Jan-25,SALDO,IN,DS-K2604T,Controllers,HIKVISION Access Control Panel,L02051725,Rak B,1,Sisa/Spare Unit SMP - Ademco,ControllersHIKVISION Access Control Panel,,,,,Power Adapter for AP1530/1560 Series Cisco (AIR-PWRADPT-RGD1) Total,,,2,,,2
24,1-Jan-25,SALDO,IN,,DVD,WINDOWS SERVER 2019 Standart 16 Core,N4TVH-T4MJ-B4CX6-4M742-P92HR,Lemari,1,,DVDWINDOWS SERVER 2019 Standart 16 Core,,,,AC Adapter Total,,,,13,,,13
25,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD PLANT 3D 2016,560-20678631,Lemari,1,,DVDAUTODESK AUTOCAD PLANT 3D 2016,,,,Android TV,Mi TV Stick Android TV,Lemari Kaca,,3,3,,6
26,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,558-68608167,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,,Mi TV Stick Android TV Total,,,3,3,,6
27,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,558-68608662,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,Android TV Total,,,,3,3,,6
28,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,558-68608761,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,Backup Tape,HPE LTO-7 Ultrium RW Data Cartridge 15TB,Lemari,,125,41,,166
29,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,559-32964994,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,,HPE LTO-7 Ultrium RW Data Cartridge 15TB Total,,,125,41,,166
30,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,559-32965093,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,,HPE LTO-7 Ultrium Universal Cleaning Cartridge,Lemari,,4,,,4
31,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,559-32965192,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,,HPE LTO-7 Ultrium Universal Cleaning Cartridge Total,,,4,,,4
32,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,559-32965291,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,Backup Tape Total,,,,129,41,,170
33,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,560-20912025,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,"Baut, Mur, Sekrup","Aneka macam Baut, Mur, Sekrup",Rak A,,1,,,1
34,1-Jan-25,SALDO,IN,,DVD,AUTODESK AUTOCAD 2016,560-20912124,Lemari,1,,DVDAUTODESK AUTOCAD 2016,,,,,"Aneka macam Baut, Mur, Sekrup Total",,,1,,,1
35,1-Jan-25,SALDO,IN,CFP86S2IWY,Face Plate,PANDUIT Mini-com 86x86 Sloped Faceplate 2 Port with Screw Cover,,Rak A,150,,Face PlatePANDUIT Mini-com 86x86 Sloped Faceplate 2 Port with Screw Cover,,,,"Baut, Mur, Sekrup Total",,,,1,,,1
36,1-Jan-25,SALDO,IN,ST6000VX001,HDD,SEAGATE SKYHAWK 6TB,ZR105058,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,Bracket Mounting,HIKVISION Vertical Pole Mount,Rak B,,34,,,34
37,1-Jan-25,SALDO,IN,ST1000DM014,HDD,SEAGATE BARRACUDA 1TB,ZFL7AA3B,Lemari,1,,HDDSEAGATE BARRACUDA 1TB,,,,,HIKVISION Vertical Pole Mount Total,,,34,,,34
38,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVX03FCR,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,HIKVISION Wall Mount,Rak B,,5,,,5
39,1-Jan-25,SALDO,IN,ST1000DM014,HDD,SEAGATE BARRACUDA 1TB,ZFL79P8S,Lemari,1,,HDDSEAGATE BARRACUDA 1TB,,,,,HIKVISION Wall Mount Total,,,5,,,5
40,1-Jan-25,SALDO,IN,ST1000DM014,HDD,SEAGATE BARRACUDA 1TB,ZFL77G8X,Lemari,1,,HDDSEAGATE BARRACUDA 1TB,,,,,HPE Quick Release 2/Spacer Option Kit 2 (Bracket Mounting TC),Rak A,,15,,,15
41,1-Jan-25,SALDO,IN,ST6000VX001,HDD,SEAGATE SKYHAWK 6TB,ZR104ZVH,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,HPE Quick Release 2/Spacer Option Kit 2 (Bracket Mounting TC) Total,,,15,,,15
42,1-Jan-25,SALDO,IN,ST6000VX001,HDD,SEAGATE SKYHAWK 6TB,ZR1057QE,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,INFORCE Projector Ceiling Mount,Rak A,,5,,,5
43,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVY02W39,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,INFORCE Projector Ceiling Mount Total,,,5,,,5
44,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVY02V9C,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,Bracket Mounting Total,,,,59,,,59
45,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVY02VXK,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,Cable Adapter,BAFO DP to HDMI Adapter,Lemari Kaca,,9,7,,16
46,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVY04CFJ,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,,Rak A,,7,7,,14
47,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WPV0GC6H,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,BAFO DP to HDMI Adapter Total,,,16,14,,30
48,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVY04BMP,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,UGREEN USB-C To HDMI Adapter,Lemari Kaca,,1,,,1
49,1-Jan-25,SALDO,IN,ST6000VX009,HDD,SEAGATE SKYHAWK 6TB,WVY04GCN,Rak D,1,,HDDSEAGATE SKYHAWK 6TB,,,,,UGREEN USB-C To HDMI Adapter Total,,,1,,,1
50,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,WWZ66A64,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,Cable Adapter Total,,,,17,14,,31
51,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,Card Reader,HIKVISION Pro 1101 Series Card Reader,Rak B,,1,,,1
52,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,,HIKVISION Pro 1101 Series Card Reader Total,,,1,,,1
53,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,Card Reader Total,,,,1,,,1
54,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,Cloud managed Network,CISCO Meraki MR36,Lemari,,2,2,,4
55,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,,CISCO Meraki MR36 Total,,,2,2,,4
56,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,Cloud managed Network Total,,,,2,2,,4
57,1-Jan-25,SALDO,IN,ST8000VE001,HDD,SEAGATE SKYHAWK AI 8TB,,Lemari,1,"ELTO2432, PO: 4500370590",HDDSEAGATE SKYHAWK AI 8TB,,,,Controllers,HIKVISION Access Control Panel,Rak B,,1,,,1
58,1-Jan-25,SALDO,IN,WD40PURZ-85AKKY0,HDD,WESTERN DIGITAL Purple 4TB,WX92DA0LJL76,Rak D,1,bekas NVR,HDDWESTERN DIGITAL Purple 4TB,,,,,HIKVISION Access Control Panel Total,,,1,,,1
59,1-Jan-25,SALDO,IN,ST1000DM003,HDD,SEAGATE BARRACUDA 1TB,ZN1DM665,Lemari,1,Ex. Workshop,HDDSEAGATE BARRACUDA 1TB,,,,Controllers Total,,,,1,,,1
60,1-Jan-25,SALDO,IN,,HDD Server,HDD Server (Bekas/Rusak),,Lemari,5,,HDD ServerHDD Server (Bekas/Rusak),,,,DVD,AUTODESK AUTOCAD 2016,Lemari,,9,,,9
61,1-Jan-25,SALDO,IN,,HDD Server,HDD Server (Baru),,Lemari,1,,HDD ServerHDD Server (Baru),,,,,AUTODESK AUTOCAD 2016 Total,,,9,,,9
62,1-Jan-25,SALDO,IN,,HDD External,HDD External SEAGATE Backup Plus Slim 2TB,NABE2GPC,Lemari,1,BPMAEXTD01,HDD ExternalHDD External SEAGATE Backup Plus Slim 2TB,,,,,AUTODESK AUTOCAD PLANT 3D 2016,Lemari,,1,,,1
63,1-Jan-25,SALDO,IN,,HDD External,HDD External SEAGATE Backup Plus Slim 2TB,NABE2H2A,Lemari,1,BPMAEXTD01A,HDD ExternalHDD External SEAGATE Backup Plus Slim 2TB,,,,,AUTODESK AUTOCAD PLANT 3D 2016 Total,,,1,,,1
64,1-Jan-25,SALDO,IN,STKM5000400,HDD External,HDD External SEAGATE Expansion portable hard drive 5 TB,NACRH892,Lemari,1,,HDD ExternalHDD External SEAGATE Expansion portable hard drive 5 TB,,,,,WINDOWS SERVER 2019 Standart 16 Core,Lemari,,1,,,1
65,1-Jan-25,SALDO,IN,,HDD Server,HDD Server (Bekas/Rusak),,Lemari,1,Degraded BPNKRNFS01,HDD ServerHDD Server (Bekas/Rusak),,,,,WINDOWS SERVER 2019 Standart 16 Core Total,,,1,,,1
66,1-Jan-25,SALDO,IN,,HDD Server,HDD Server (Baru),,Lemari,1,New for Coldspare,HDD ServerHDD Server (Baru),,,,DVD Total,,,,11,,,11
67,1-Jan-25,SALDO,IN,NL-HE200,HDMI Extender,NETLINE HDMI Extender 200m Cat5e/6e,,Rak A,5,,HDMI ExtenderNETLINE HDMI Extender 200m Cat5e/6e,,,,Face Plate,PANDUIT Mini-com 86x86 Sloped Faceplate 2 Port with Screw Cover,Rak A,,150,,,150
68,1-Jan-25,SALDO,IN,HEA150,HDMI Extender,HDMI Extender,,Lemari Kaca,3,,HDMI ExtenderHDMI Extender,,,,,PANDUIT Mini-com 86x86 Sloped Faceplate 2 Port with Screw Cover Total,,,150,,,150
69,1-Jan-25,SALDO,IN,,HDMI Splitter,GAINTECH 2 Port HDMI Splitter 4K,,Lemari Kaca,1,2303081,HDMI SplitterGAINTECH 2 Port HDMI Splitter 4K,,,,Face Plate Total,,,,150,,,150
70,1-Jan-25,SALDO,IN,,HDMI Splitter,NYK 1X4 HDMI Splitter,,Lemari Kaca,1,2303075,HDMI SplitterNYK 1X4 HDMI Splitter,,,,HDD,SEAGATE BARRACUDA 1TB,Lemari,,4,3,,7
71,1-Jan-25,SALDO,IN,,HDMI Splitter,MAXLINE 1X2 HDTV Splitter,,Lemari Kaca,1,2303071,HDMI SplitterMAXLINE 1X2 HDTV Splitter,,,,,SEAGATE BARRACUDA 1TB Total,,,4,3,,7
72,1-Jan-25,SALDO,IN,,HDMI Splitter,BAFO 4 Port HDMI 2.0 Splitter,,Lemari Kaca,1,,HDMI SplitterBAFO 4 Port HDMI 2.0 Splitter,,,,,SEAGATE SKYHAWK 6TB,Rak D,,11,,,11
73,1-Jan-25,SALDO,IN,,HDMI Splitter,BAFO 2 Port HDMI 2.0 Splitter,,Lemari Kaca,1,,HDMI SplitterBAFO 2 Port HDMI 2.0 Splitter,,,,,SEAGATE SKYHAWK 6TB Total,,,11,,,11
74,1-Jan-25,SALDO,IN,,HDMI Splitter,BAFO 4 Port HDMI 2.0 Splitter,,Rak A,1,ELTO 2414 - PO 4500371320,HDMI SplitterBAFO 4 Port HDMI 2.0 Splitter,,,,,SEAGATE SKYHAWK AI 8TB,Lemari,,8,8,,16
75,1-Jan-25,SALDO,IN,,HDMI Splitter,BAFO 2 Port HDMI 2.0 Splitter,,Rak A,1,ELTO 2414 - PO 4500371320,HDMI SplitterBAFO 2 Port HDMI 2.0 Splitter,,,,,SEAGATE SKYHAWK AI 8TB Total,,,8,8,,16
76,1-Jan-25,SALDO,IN,,HDMI Switcher,VENTION HDMI BI-DIRECTION Switcher,,Lemari Kaca,1,2302056,HDMI SwitcherVENTION HDMI BI-DIRECTION Switcher,,,,,WESTERN DIGITAL Purple 4TB,Rak D,,1,,,1
77,1-Jan-25,SALDO,IN,40234,HDMI Switcher,UGREEN 3 Port 3X1 HDMI Switch,,Lemari Kaca,5,,HDMI SwitcherUGREEN 3 Port 3X1 HDMI Switch,,,,,WESTERN DIGITAL Purple 4TB Total,,,1,,,1
