,Jenis Barang,Nama Barang,Stok,,,,,,,,,,,,,,
,,,Lemari Kaca,Lemari,Rak A,Rak B,Rak C,Rak D,Rak E,Rak F,Rak G,Lantai,Total,,MO,Gudang,Total
AC AdapterDELL 65W AC Adapter (Adaptor TC DELL),AC Adapter,DELL 65W AC Adapter (Adaptor TC DELL),,2,,,,,,,,,2,,,,
AC AdapterHP 65W AC Adapter (Adaptor TC HP),AC Adapter,HP 65W AC Adapter (Adaptor TC HP),,9,,,,,,,,,9,,,,
AC AdapterPower Adapter for AP1530/1560 Series Cisco (AIR-PWRADPT-RGD1),AC Adapter,Power Adapter for AP1530/1560 Series Cisco (AIR-PWRADPT-RGD1),,,,2,,,,,,,2,,,,
Android TVMi TV Stick Android TV,Android TV,Mi TV Stick Android TV,,,,,,,,,,,,,,,
Backup TapeHPE LTO-7 Ultrium RW Data Cartridge 15TB,Backup Tape,HPE LTO-7 Ultrium RW Data Cartridge 15TB,,84,,,,,,,,,84,,,,
Backup TapeHPE LTO-7 Ultrium Universal Cleaning Cartridge,Backup Tape,HPE LTO-7 Ultrium Universal Cleaning Cartridge,,4,,,,,,,,,4,,,,
"Baut, Mur, SekrupAneka macam Baut, Mur, Sekrup","Baut, Mur, Sekrup","Aneka macam Baut, Mur, Sekrup",,,1,,,,,,,,1,,,,
Bracket MountingHIKVISION Vertical Pole Mount,Bracket Mounting,HIKVISION Vertical Pole Mount,,,,34,,,,,,,34,,,,
Bracket MountingHIKVISION Wall Mount,Bracket Mounting,HIKVISION Wall Mount,,,,5,,,,,,,5,,,,
Bracket MountingHPE Quick Release 2/Spacer Option Kit 2 (Bracket Mounting TC),Bracket Mounting,HPE Quick Release 2/Spacer Option Kit 2 (Bracket Mounting TC),,,15,,,,,,,,15,,,,
Bracket MountingINFORCE Projector Ceiling Mount,Bracket Mounting,INFORCE Projector Ceiling Mount,,,5,,,,,,,,5,,,,
Cable AdapterBAFO DP to HDMI Adapter,Cable Adapter,BAFO DP to HDMI Adapter,2,,,,,,,,,,2,,,,
Cable AdapterUGREEN USB-C To HDMI Adapter,Cable Adapter,UGREEN USB-C To HDMI Adapter,1,,,,,,,,,,1,,,,
Card ReaderHIKVISION Pro 1101 Series Card Reader,Card Reader,HIKVISION Pro 1101 Series Card Reader,,,,1,,,,,,,1,,,,
Cloud managed NetworkCISCO Meraki MR36,Cloud managed Network,CISCO Meraki MR36,,,,,,,,,,,,,,,
Color RibbonFARGO Ribbon YMCKOK DTC4500e,Color Ribbon,FARGO Ribbon YMCKOK DTC4500e,,,,,,,,,,,,,,,
ControllersHIKVISION Access Control Panel,Controllers,HIKVISION Access Control Panel,,,,1,,,,,,,1,,,,
DVDAUTODESK AUTOCAD 2016,DVD,AUTODESK AUTOCAD 2016,,9,,,,,,,,,9,,,,
DVDAUTODESK AUTOCAD PLANT 3D 2016,DVD,AUTODESK AUTOCAD PLANT 3D 2016,,1,,,,,,,,,1,,,,
DVDWINDOWS SERVER 2019 Standart 16 Core,DVD,WINDOWS SERVER 2019 Standart 16 Core,,1,,,,,,,,,1,,,,
Face PlatePANDUIT Mini-com 86x86 Sloped Faceplate 2 Port with Screw Cover,Face Plate,PANDUIT Mini-com 86x86 Sloped Faceplate 2 Port with Screw Cover,,,150,,,,,,,,150,,,,
HDDSEAGATE BARRACUDA 1TB,HDD,SEAGATE BARRACUDA 1TB,,1,,,,,,,,,1,,,,
HDDSEAGATE SKYHAWK 4TB,HDD,SEAGATE SKYHAWK 4TB,,,,,,,,,,,,,,,
HDDSEAGATE SKYHAWK 6TB,HDD,SEAGATE SKYHAWK 6TB,,,,,,11,,,,,11,,,,
HDDSEAGATE SKYHAWK AI 8TB,HDD,SEAGATE SKYHAWK AI 8TB,,,,,,,,,,,,,,,
HDDWESTERN DIGITAL Purple 4TB,HDD,WESTERN DIGITAL Purple 4TB,,,,,,1,,,,,1,,,,
HDD ExternalHDD External SEAGATE Backup Plus Slim 2TB,HDD External,HDD External SEAGATE Backup Plus Slim 2TB,,2,,,,,,,,,2,,,,
HDD ExternalHDD External SEAGATE Expansion portable hard drive 5 TB,HDD External,HDD External SEAGATE Expansion portable hard drive 5 TB,,1,,,,,,,,,1,,,,
HDD ExternalWD External HDD MYBOOK DUO 20 TB,HDD External,WD External HDD MYBOOK DUO 20 TB,,1,,,,,,,,,1,,,,
HDD ExternalWD External HDD MYPASSPORT ULTRA 5 TB,HDD External,WD External HDD MYPASSPORT ULTRA 5 TB,,,,,,,,,,,,,,,
HDD ExternalWD External HDD MYBOOK 22 TB,HDD External,WD External HDD MYBOOK 22 TB,,,,,,,,,,,,,,,
HDD ExternalHDD External SEAGATE OneTouch 5TB,HDD External,HDD External SEAGATE OneTouch 5TB,,2,,,,,,,,,2,,,,
HDD ServerHDD Server (Baru),HDD Server,HDD Server (Baru),3,5,,,,,,,,,8,,,,
HDD ServerHDD Server (Bekas/Rusak),HDD Server,HDD Server (Bekas/Rusak),,,,,,11,,,,,11,,,,
HDMI ExtenderBAFO Wireless HDMI Extender BF-380,HDMI Extender,BAFO Wireless HDMI Extender BF-380,,,,,,,,,,,,,,,
HDMI ExtenderHDMI Extender,HDMI Extender,HDMI Extender,,,,,,,,,,,,,,,
HDMI ExtenderNETLINE HDMI Extender 200m Cat5e/6e,HDMI Extender,NETLINE HDMI Extender 200m Cat5e/6e,5,,,,,,,,,,5,,,,
HDMI SplitterBAFO 2 Port HDMI 2.0 Splitter,HDMI Splitter,BAFO 2 Port HDMI 2.0 Splitter,1,,1,,,,,,,,2,,,,
HDMI SplitterBAFO 4 Port HDMI 2.0 Splitter,HDMI Splitter,BAFO 4 Port HDMI 2.0 Splitter,1,,1,,,,,,,,2,,,,
